[-6.24105145 -4.08436361]	[0.1762752  0.02013231]	[0.50147493]
[-6.27008591 -4.11180512]
[-6.29338953 -4.07331372]
[-6.47412813 -4.08764811]
[-6.10554429 -4.1102349 ]
[-6.47339289 -4.11459249]
[-6.26422694 -4.10162006]
[-6.07430458 -4.05826326]
[-6.46469581 -4.13625901]
[-6.480196   -4.10262425]
[-6.55775265 -4.14457601]
[-6.44704854 -4.08831093]
[-6.24130108 -4.05462947]
[-6.20454588 -4.09899863]
[-6.1361268  -4.11644674]
[-6.24075581 -4.09355596]
[-6.14163259 -4.0640747 ]
[-6.51335963 -4.08746911]
[-6.24135524 -4.09934611]
[-6.54224344 -4.10301884]
[-6.43233991 -4.09332651]
[-6.47499949 -4.10355593]
[-6.20636758 -4.11046227]
[-6.39277782 -4.08006061]
[-6.2209199  -4.08729296]
[-6.30128219 -4.07316359]
[-6.28192898 -4.07372121]
[-6.47266658 -4.08590231]
[-6.10115876 -4.08982151]
[-6.35666114 -4.11392032]
[-6.13384751 -4.07936485]
[-6.25261765 -4.10019857]
[-6.55758104 -4.08490341]
[-6.03845489 -4.09600193]
[-6.52497441 -4.10183937]
[-6.2964614  -4.07045426]
[-6.10224535 -4.07586469]
[-6.06970866 -4.08741486]
[-6.12694281 -4.1141898 ]
[-6.21815128 -4.10546504]
[-6.44537179 -4.06402261]
[-6.50788441 -4.09894939]
[-6.18547952 -4.09427587]
[-6.14627228 -4.07114443]
[-6.40602891 -4.08636369]
[-6.23728542 -4.07818378]
[-6.09611164 -4.05889257]
[-5.89556415 -4.08179219]
[-6.31580334 -4.11036418]
[-6.1586604  -4.08523017]
[-6.23366569 -4.10149249]
[-6.48439994 -4.11964682]
[-6.17850654 -4.0768831 ]
[-5.987057   -4.06565638]
[-6.18114812 -4.07627732]
[-6.65305234 -4.09472353]
[-6.28987633 -4.09938124]
[-6.39139167 -4.10709629]
[-6.21852238 -4.08218002]
[-6.04236032 -4.08652957]
[-6.13237609 -4.07631385]
[-6.32189886 -4.09485031]
[-6.38201244 -4.09429802]
[-6.29505479 -4.07960387]
[-6.03158666 -4.07190253]
[-6.50649796 -4.1135328 ]
[-6.5761593  -4.11196686]
[-6.23395009 -4.09020579]
[-5.92247973 -4.0709697 ]
[-6.30499039 -4.12783103]
[-6.47190531 -4.07884811]
[-6.52544825 -4.12078758]
[-6.28396614 -4.05490285]
[-6.44197958 -4.10373261]
[-6.28316879 -4.10739942]
[-6.12884271 -4.07199327]
[-6.12228469 -4.05194678]
[-6.05422216 -4.06010082]
[-6.51008126 -4.09297368]
[-6.20526785 -4.09567952]
[-6.25465161 -4.11030244]
[-6.27158758 -4.06190194]
[-5.83102238 -4.06626712]
[-6.56733136 -4.08745649]
[-6.28598157 -4.10541921]
[-6.27081382 -4.07676199]
[-6.23505786 -4.0871082 ]
[-6.05630757 -4.0668748 ]
[-6.37242116 -4.07135856]
[-6.18494002 -4.11792274]
[-6.35948618 -4.098007  ]
[-6.30959243 -4.07453014]
[-5.96773469 -4.07509078]
[-6.24463039 -4.07734419]
[-6.31842661 -4.09440578]
[-5.93321636 -4.04569349]
[-6.10728677 -4.06640107]
[-5.9276833  -4.04952047]
[-5.88560212 -4.0400439 ]
[-6.1400914  -4.08581179]
[-6.32682535 -4.07007154]
[-6.37215142 -4.11203592]
[-6.14416186 -4.08098683]
[-6.35243998 -4.08425881]
